date,max
30.09.20,0
31.08.20,0
31.07.20,0
30.06.20,0
29.05.20,0
30.04.20,0
31.03.20,0
28.02.20,0
31.01.20,0
31.12.19,0.200010524
29.11.19,0
31.10.19,0
30.09.19,0
30.08.19,0
31.07.19,0.018091653
28.06.19,0
31.05.19,0
30.04.19,0.065777727
29.03.19,0
28.02.19,0
31.01.19,0
31.12.18,0
30.11.18,0
31.10.18,0
28.09.18,0.139716127
31.08.18,0
31.07.18,0
29.06.18,0
31.05.18,0
30.04.18,0
30.03.18,0
28.02.18,0
31.01.18,0.064784812
29.12.17,0
30.11.17,0
31.10.17,0
29.09.17,0
31.08.17,0
31.07.17,0
30.06.17,0
31.05.17,0
28.04.17,0
31.03.17,0
28.02.17,0.00038923
31.01.17,0
30.12.16,0
30.11.16,0
31.10.16,0
30.09.16,0
31.08.16,0
29.07.16,0.021830144
30.06.16,0
31.05.16,0
29.04.16,0
31.03.16,0
29.02.16,0
29.01.16,0
31.12.15,0
30.11.15,0
30.10.15,0
30.09.15,0
31.08.15,0
31.07.15,0
30.06.15,0
29.05.15,0.088906183
30.04.15,0
31.03.15,0
27.02.15,0.017396056
30.01.15,0
31.12.14,0
28.11.14,0.035099344
31.10.14,0
30.09.14,0
29.08.14,0.015513859
31.07.14,0
30.06.14,0.015079863
30.05.14,0
30.04.14,0
31.03.14,0
28.02.14,0
31.01.14,0
31.12.13,0.035582895
29.11.13,0
31.10.13,0
30.09.13,0
30.08.13,0
31.07.13,0.031298013
28.06.13,0
31.05.13,0.014999326
30.04.13,0
29.03.13,0
28.02.13,0
31.01.13,0
31.12.12,0
30.11.12,0
31.10.12,0
28.09.12,0.019789404
31.08.12,0
31.07.12,0
29.06.12,0
31.05.12,0
30.04.12,0
30.03.12,0.069678445
29.02.12,0
31.01.12,0
30.12.11,0
30.11.11,0
31.10.11,0
30.09.11,0
31.08.11,0
29.07.11,0
30.06.11,0
31.05.11,0
29.04.11,0.170275959
31.03.11,0
28.02.11,0.001047302
31.01.11,0
31.12.10,0
30.11.10,0
29.10.10,0
30.09.10,0
31.08.10,0
30.07.10,0
30.06.10,0
31.05.10,0
30.04.10,0.131441236
31.03.10,0
26.02.10,0
29.01.10,0
31.12.09,0.036974262
30.11.09,0
30.10.09,0
30.09.09,0.019752526
