Date,AMD_PX,BA_PX,BBVA_PX,GILD_PX,Maersk_PX,RWE_PX,WMT_PX,DAX30_PX,IBEX35_PX,OMXC25_PX,SPX_PX,AMD_Book_val_per_sh,BA_Book_val_per_sh,BBVA_Book_val_per_sh,GILD_Book_val_per_sh,Maersk_Book_val_per_sh,RWE_Book_val_per_sh,WMT_Book_val_per_sh
30.01.2015,2.57,145.37,7.6,104.83,11711.159,24.61,84.98,10694.32,10403.3,865.946,1994.99,0.241,12.2607,7.9558,10.2909,11793.7192,16.4182,25.215
27.02.2015,3.11,150.85,8.98,103.53,13452.954,24.985,83.93,11401.66,11178.3,944.078,2104.5,0.241,12.2607,7.9558,10.2909,11793.7192,16.4182,25.215
31.03.2015,2.68,150.08,9.408,98.13,12726.477,23.78,82.25,11966.17,11521.1,985.754,2067.89,0.0219,11.3919,8.1405,11.6317,11763.7063,14.939,25.215
30.04.2015,2.26,143.34,9,100.51,11562.363,22.29,78.05,11454.38,11385,990.165,2085.51,0.0219,11.3919,8.1405,11.6317,11763.7063,14.939,23.7292
29.05.2015,2.28,140.52,8.993,112.27,11466.083,21.26,74.27,11413.82,11217.6,1015.746,2107.39,0.0219,11.3919,8.1405,11.6317,11763.7063,14.939,23.7292
30.06.2015,2.4,138.72,8.792,117.08,10608.315,19.285,70.93,10944.97,10769.5,978.686,2063.11,-0.181,9.1973,7.814,11.057,11721.704,15.4238,23.7292
31.07.2015,1.93,144.17,9.214,117.86,10126.914,18.95,71.98,11308.99,11180.7,1033.922,2103.84,-0.181,9.1973,7.814,11.057,11721.704,15.4238,24.5322
31.08.2015,1.81,130.68,8.263,105.07,9916.849,13.395,64.73,10259.46,10259,971.004,1972.18,-0.181,9.1973,7.814,11.057,11721.704,15.4238,24.5322
30.09.2015,1.72,130.95,7.58,98.19,8989.059,10.15,64.84,9660.44,9559.9,952.312,1920.03,-0.4253,10.0453,7.3387,12.0179,11873.1344,14.9813,24.5322
30.10.2015,2.12,148.07,7.84,108.13,8752.735,12.655,57.24,10850.14,10360.7,971.426,2079.36,-0.4253,10.0453,7.3387,12.0179,11873.1344,14.9813,24.7885
30.11.2015,2.36,145.45,7.856,105.96,9435.448,10.89,58.84,11382.23,10386.9,1050.493,2080.41,-0.4253,10.0453,7.3387,12.0179,11873.1344,14.9813,24.7885
31.12.2015,2.87,144.59,6.739,101.19,7855.58,11.71,61.3,10743.01,9544.2,1037.077,2043.94,-0.5202,9.5031,7.4277,13.0338,11364.7309,9.5113,24.7885
29.01.2016,2.2,120.13,5.896,83,7719.912,12.87,66.36,9798.11,8815.8,996.92,1940.24,-0.5202,9.5031,7.4277,13.0338,11364.7309,9.5113,25.4731
29.02.2016,2.14,118.18,5.855,87.25,7908.096,10.54,66.34,9495.4,8461.4,989.915,1932.23,-0.5202,9.5031,7.4277,13.0338,11364.7309,9.5113,25.4731
31.03.2016,2.85,126.94,5.842,91.86,7518.599,11.375,68.49,9965.51,8723.1,989.375,2059.74,-0.6343,6.319,7.2854,9.9392,11064.7468,9.808,25.4731
29.04.2016,3.55,134.8,5.983,88.21,8000,13.045,66.87,10038.97,9025.7,993.072,2065.3,-0.6343,6.319,7.2854,9.9392,11064.7468,9.808,24.0586
31.05.2016,4.57,126.15,5.961,87.06,7536.105,11.765,70.78,10262.74,9034,1048.003,2096.96,-0.6343,6.319,7.2854,9.9392,11064.7468,9.808,24.0586
30.06.2016,5.14,129.87,5.064,83.42,7619.256,14.19,73.02,9680.09,8163.3,998.936,2098.86,-0.5195,0.9347,7.3198,11.6724,11009.1496,8.5847,24.0586
29.07.2016,6.86,133.66,5.225,79.47,7903.72,15.905,72.97,10337.5,8587.2,1030.175,2173.6,-0.5195,0.9347,7.3198,11.6724,11009.1496,8.5847,24.7094
31.08.2016,7.4,129.45,5.578,78.38,8730.853,14.665,71.44,10592.69,8716.8,1031.815,2170.95,-0.5195,0.9347,7.3198,11.6724,11009.1496,8.5847,24.7094
30.09.2016,6.91,131.74,5.382,79.12,8507.658,15.335,72.12,10511.02,8779.4,1011.294,2168.27,0.4158,3.375,7.3402,12.7595,11000.9913,6.6813,24.7094
31.10.2016,7.23,142.43,6.578,73.63,9102.844,14.46,70.02,10665.01,9143.3,1004.737,2126.15,0.4158,3.375,7.3402,12.7595,11000.9913,6.6813,25.2332
30.11.2016,8.91,150.56,5.826,73.7,8148.796,11.86,70.43,10640.3,8688.2,966.024,2198.81,0.4158,3.375,7.3402,12.7595,11000.9913,6.6813,25.2332
30.12.2016,11.34,155.68,6.414,71.61,9864.332,11.815,69.12,11481.06,9352.1,1015.878,2238.83,0.4449,1.3238,7.2128,14.4176,10625.2329,4.4799,25.2332
31.01.2017,10.37,163.42,6.275,72.45,10056.893,12.255,66.74,11535.31,9315.2,1049.563,2278.87,0.4449,1.3238,7.2128,14.4176,10625.2329,4.4799,25.5243
28.02.2017,14.46,180.23,6.178,70.48,10013.129,13.455,70.93,11834.41,9555.5,1060.33,2363.64,0.4449,1.3238,7.2128,14.4176,10625.2329,4.4799,25.5243
