DATE;MKT-RF;SMB;HML Devil;HML FF;RMW;CMA;RF
01/31/1985;7.99%;3.99%;-2.37%;-5.04%;-0.83%;-3.36%;0.65%
02/28/1985;1.22%;1.01%;-0.57%;0.07%;1.26%;1.03%;0.67%
03/31/1985;-0.84%;-1.69%;3.04%;3.98%;1.18%;2.94%;0.71%
04/30/1985;-0.96%;-0.70%;2.18%;3.72%;1.59%;0.71%;0.68%
05/31/1985;5.09%;-2.74%;-1.47%;-0.98%;1.30%;-1.39%;0.65%
06/30/1985;1.27%;-0.40%;-1.11%;0.79%;1.73%;-0.59%;0.60%
07/31/1985;-0.74%;3.06%;-0.64%;-1.57%;-0.45%;-0.31%;0.57%
08/31/1985;-1.02%;-0.20%;1.66%;2.13%;-0.04%;1.88%;0.61%
09/30/1985;-4.54%;-1.60%;0.82%;0.96%;1.16%;1.61%;0.60%
10/31/1985;4.02%;-1.28%;-0.35%;0.86%;0.92%;-1.11%;0.59%
11/30/1985;6.48%;-0.31%;-2.26%;-2.64%;0.29%;-2.33%;0.60%
12/31/1985;3.88%;-0.70%;-1.00%;-1.06%;0.97%;-1.80%;0.60%
01/31/1986;0.65%;0.73%;-0.69%;0.86%;-2.02%;-2.05%;0.59%
02/28/1986;7.13%;-0.91%;-2.26%;-0.51%;1.15%;-1.39%;0.58%
03/31/1986;4.88%;-0.57%;-0.63%;0.12%;1.12%;0.99%;0.59%
04/30/1986;-1.31%;2.63%;-3.20%;-2.98%;2.91%;0.02%;0.53%
05/31/1986;4.62%;-1.28%;-0.13%;-0.15%;2.08%;1.11%;0.51%
06/30/1986;1.03%;-1.45%;-1.39%;0.88%;1.83%;0.87%;0.53%
07/31/1986;-6.45%;-2.94%;3.00%;4.15%;-0.57%;0.61%;0.50%
08/31/1986;6.07%;-4.36%;5.91%;3.40%;-1.74%;3.24%;0.48%
09/30/1986;-8.60%;1.68%;5.13%;3.37%;-0.05%;3.62%;0.43%
10/31/1986;4.66%;-2.27%;-1.35%;-1.19%;0.13%;0.89%;0.43%
11/30/1986;1.17%;-2.37%;0.41%;-0.16%;1.12%;0.61%;0.43%
12/31/1986;-3.27%;0.13%;0.17%;0.28%;0.83%;-0.03%;0.45%
01/31/1987;12.47%;-1.80%;-1.89%;-2.48%;0.20%;-1.09%;0.47%
02/28/1987;4.39%;3.63%;-4.88%;-5.99%;-0.90%;-2.76%;0.47%
03/31/1987;1.64%;0.36%;1.69%;1.90%;1.36%;4.03%;0.45%
04/30/1987;-2.11%;-1.55%;0.46%;-0.16%;-0.46%;1.22%;0.47%
05/31/1987;0.11%;-0.56%;1.56%;0.18%;0.52%;1.32%;0.46%
06/30/1987;3.94%;-1.98%;1.17%;0.97%;1.73%;0.83%;0.47%
07/31/1987;3.85%;-0.59%;-0.61%;0.95%;-0.50%;1.56%;0.48%
08/31/1987;3.52%;-1.14%;-0.47%;-1.24%;2.03%;-1.59%;0.51%
09/30/1987;-2.59%;0.15%;-0.31%;0.59%;-0.90%;1.89%;0.52%
10/31/1987;-23.24%;-7.85%;8.52%;4.49%;2.01%;2.39%;0.55%
11/30/1987;-7.77%;2.55%;1.56%;2.44%;-1.92%;0.71%;0.44%
12/31/1987;6.81%;-0.66%;-3.98%;-4.07%;3.01%;-2.36%;0.43%
01/31/1988;4.21%;0.48%;8.32%;4.60%;-1.12%;2.09%;0.47%
02/29/1988;4.75%;3.08%;-1.06%;-1.37%;1.56%;-0.11%;0.47%
03/31/1988;-2.27%;5.98%;-0.30%;0.62%;-0.16%;1.91%;0.47%
04/30/1988;0.56%;0.70%;0.39%;1.61%;-0.23%;1.90%;0.48%
05/31/1988;-0.29%;-2.91%;2.13%;1.97%;-0.70%;0.38%;0.50%
06/30/1988;4.79%;1.53%;-0.35%;-0.53%;1.42%;-3.25%;0.54%
07/31/1988;-1.25%;-4.59%;6.29%;6.66%;-0.59%;1.44%;0.55%
08/31/1988;-3.31%;2.35%;-0.40%;-0.48%;-0.74%;1.73%;0.58%
09/30/1988;3.30%;-3.37%;-0.70%;-0.26%;1.73%;-0.49%;0.61%
10/31/1988;1.15%;-1.70%;-1.14%;-0.49%;1.40%;1.05%;0.60%
11/30/1988;-2.29%;0.16%;1.81%;1.79%;-0.28%;1.60%;0.61%
12/31/1988;1.49%;0.54%;-0.63%;-1.23%;0.63%;-0.37%;0.65%
01/31/1989;6.10%;1.58%;0.74%;0.90%;-1.03%;0.16%;0.68%
02/28/1989;-2.25%;-0.18%;-3.28%;-2.03%;-0.81%;1.90%;0.70%
03/31/1989;1.57%;-0.89%;-2.17%;-0.99%;0.00%;0.79%;0.73%
04/30/1989;4.33%;1.62%;-1.23%;0.20%;0.75%;-0.54%;0.74%
05/31/1989;3.35%;0.54%;1.88%;0.87%;0.50%;-0.03%;0.70%
06/30/1989;-1.35%;0.14%;2.51%;0.84%;0.22%;1.52%;0.72%
07/31/1989;7.20%;-1.97%;-2.04%;-1.97%;1.97%;-0.61%;0.67%
08/31/1989;1.44%;2.03%;2.97%;2.31%;0.34%;-0.50%;0.65%
09/30/1989;-0.76%;2.41%;-1.39%;-0.64%;1.36%;0.59%;0.66%
10/31/1989;-3.67%;-1.12%;-1.17%;-1.43%;0.01%;0.01%;0.66%
11/30/1989;1.03%;-0.44%;-2.72%;-2.64%;-0.97%;1.47%;0.65%
12/31/1989;1.16%;1.00%;0.43%;0.79%;-0.06%;1.44%;0.63%
01/31/1990;-7.85%;1.53%;2.94%;2.46%;-1.13%;1.32%;0.63%
02/28/1990;1.11%;1.63%;-0.74%;0.72%;-0.20%;-0.64%;0.65%
03/31/1990;1.83%;1.50%;1.41%;3.48%;2.18%;-1.03%;0.65%
04/30/1990;-3.36%;-2.96%;-0.09%;-1.31%;1.72%;-0.97%;0.65%
05/31/1990;8.42%;0.68%;-3.61%;-3.95%;1.63%;-1.57%;0.65%
06/30/1990;-1.09%;2.39%;0.98%;2.76%;-1.05%;-0.34%;0.65%
07/31/1990;-1.90%;0.63%;-0.38%;0.13%;-0.26%;3.10%;0.65%
08/31/1990;-10.15%;-2.73%;0.64%;1.62%;-0.43%;2.99%;0.62%
09/30/1990;-6.12%;-2.90%;0.79%;0.36%;-0.15%;3.71%;0.62%
10/31/1990;-1.92%;0.98%;-1.60%;-2.34%;2.83%;-0.49%;0.60%
11/30/1990;6.35%;-1.98%;1.07%;0.16%;0.83%;-4.75%;0.59%
12/31/1990;2.46%;-1.39%;-0.07%;-2.01%;2.84%;-2.00%;0.59%
01/31/1991;4.69%;-0.85%;1.25%;0.86%;1.56%;-4.08%;0.54%
02/28/1991;7.19%;5.34%;3.03%;-0.91%;-0.25%;-0.16%;0.52%
03/31/1991;2.65%;3.58%;-0.04%;0.01%;-0.37%;-0.99%;0.50%
04/30/1991;-0.28%;0.44%;0.49%;1.14%;0.52%;0.71%;0.48%
05/31/1991;3.65%;-0.54%;-0.08%;0.23%;2.10%;-2.45%;0.46%
06/30/1991;-4.94%;0.54%;1.45%;2.03%;1.75%;0.63%;0.46%
07/31/1991;4.24%;-1.93%;-0.15%;0.31%;1.60%;-1.41%;0.46%
08/31/1991;2.32%;-1.07%;-0.90%;-0.23%;0.87%;-0.55%;0.46%
09/30/1991;-1.59%;2.02%;-0.14%;0.17%;-1.81%;0.16%;0.44%
10/31/1991;1.29%;0.76%;-1.51%;-1.22%;-1.73%;-0.29%;0.43%
11/30/1991;-4.19%;-0.36%;-0.91%;-1.15%;1.06%;0.12%;0.40%
12/31/1991;10.84%;-2.86%;-3.65%;-1.80%;3.57%;-3.12%;0.36%
01/31/1992;-0.59%;3.97%;3.11%;3.28%;-1.33%;3.15%;0.32%
02/29/1992;1.09%;1.42%;1.11%;2.00%;0.11%;2.04%;0.32%
03/31/1992;-2.66%;-0.57%;1.80%;1.90%;-0.10%;1.93%;0.33%
04/30/1992;1.07%;-4.55%;5.91%;5.12%;1.69%;2.22%;0.34%
05/31/1992;0.30%;1.57%;0.28%;-0.29%;-0.98%;0.43%;0.31%
06/30/1992;-2.34%;-1.94%;1.27%;1.87%;-0.05%;1.07%;0.31%
07/31/1992;3.77%;-1.86%;-1.00%;-1.18%;1.40%;-0.72%;0.30%
08/31/1992;-2.38%;0.01%;-0.89%;-1.74%;3.73%;-1.62%;0.27%
09/30/1992;1.19%;0.48%;-1.07%;-0.90%;1.63%;-0.50%;0.26%
10/31/1992;1.02%;0.27%;-0.67%;-0.42%;1.30%;-0.80%;0.22%
11/30/1992;4.13%;1.45%;-1.14%;-1.12%;-0.77%;-1.91%;0.25%
12/31/1992;1.53%;1.63%;0.92%;1.43%;-0.41%;0.75%;0.27%
01/31/1993;0.93%;2.14%;2.75%;3.09%;-1.73%;2.78%;0.26%
02/28/1993;0.12%;-0.92%;4.04%;3.67%;-0.59%;4.05%;0.24%
03/31/1993;2.30%;0.46%;1.79%;1.51%;-0.14%;0.92%;0.25%
04/30/1993;-3.05%;0.52%;3.79%;2.90%;-3.58%;1.52%;0.24%
05/31/1993;2.89%;4.39%;-1.38%;-1.42%;0.00%;-1.18%;0.24%
06/30/1993;0.31%;-0.28%;0.90%;1.50%;-0.97%;1.09%;0.26%
07/31/1993;-0.34%;-0.25%;2.08%;2.36%;-1.84%;2.03%;0.25%
08/31/1993;3.71%;0.11%;-0.33%;-0.30%;-1.59%;-0.04%;0.25%
09/30/1993;-0.12%;1.66%;0.09%;0.06%;0.26%;-0.08%;0.25%
10/31/1993;1.41%;-1.53%;1.62%;0.82%;0.55%;0.59%;0.24%
11/30/1993;-1.89%;-1.81%;1.01%;-0.45%;2.25%;-0.96%;0.25%
12/31/1993;1.65%;0.09%;1.94%;2.02%;1.13%;-0.32%;0.26%
01/31/1994;2.87%;1.43%;2.14%;2.55%;-1.59%;1.45%;0.25%
02/28/1994;-2.55%;1.99%;0.76%;0.70%;2.20%;-1.03%;0.25%
03/31/1994;-4.78%;1.02%;1.90%;1.33%;0.55%;1.27%;0.28%
04/30/1994;0.68%;-0.46%;2.07%;1.34%;1.11%;1.12%;0.29%
05/31/1994;0.58%;-0.61%;1.66%;0.86%;0.66%;0.70%;0.32%
06/30/1994;-3.03%;0.57%;1.60%;1.67%;1.15%;1.53%;0.35%
07/31/1994;2.82%;-1.29%;1.00%;0.42%;-0.63%;0.11%;0.35%
08/31/1994;4.01%;-1.03%;-0.89%;-1.54%;0.90%;-1.45%;0.36%
09/30/1994;-2.31%;0.92%;-0.56%;-0.43%;0.51%;0.93%;0.38%
10/31/1994;1.34%;-1.83%;-0.40%;-0.03%;0.22%;-0.62%;0.39%
11/30/1994;-4.04%;-0.67%;0.24%;-0.23%;0.45%;-0.44%;0.42%
12/31/1994;0.86%;-0.11%;0.14%;0.18%;0.50%;0.31%;0.46%
01/31/1995;1.80%;0.11%;1.73%;0.32%;0.09%;-0.83%;0.46%
