gvkey;tic;Company Name
1166;I6UNK059;ASM INTERNATIONAL NV
1932;I6UNK059;BRITISH AMER TOBACCO PLC
2410;I6UNK059;BP PLC
2411;I6UNK059;BT GROUP PLC
4439;I6UNK059;TELEFONAKTIEBOLAGET LM ERICS
5180;I6UNK059;GLAXOSMITHKLINE PLC
8020;I6UNK059;NOVO NORDISK A/S
8546;I6UNK059;KONINKLIJKE PHILIPS NV
10846;I6UNK059;THE UNILEVER GROUP
11217;I6UNK059;VOLVO AB
12368;I6UNK059;SCA-SVENSKA CELLULOSA AB
12383;I6UNK059;NORSK HYDRO ASA
12384;I6UNK059;ROYAL DUTCH SHELL PLC
12673;I6UNK059;BARCLAYS PLC
13145;I6UNK059;INTL CONSOL AIRLINES GROUP
13312;I6UNK059;BHP GROUP LTD
13498;I6UNK059;CARNIVAL CORPORATION & PLC
13556;I6UNK059;THALES
13683;I6UNK059;TELEFONICA SA
14140;I6UNK059;BANCO SANTANDER SA
14447;I6UNK059;LVMH MOET HENNESSY LOUIS V
14605;I6UNK059;WPP PLC
14620;I6UNK059;ELECTROLUX AB
14894;I6UNK059;VODAFONE GROUP PLC
15172;I6UNK059;FIAT CHRYSLER AUTOMOBILES NV
15181;I6UNK059;BBVA
15319;I6UNK059;REPSOL SA
15321;I6UNK059;ENDESA SA
15334;I6UNK059;AKZO NOBEL NV
15444;I6UNK059;CRH PLC
15505;I6UNK059;AIB GROUP PLC
15508;I6UNK059;ANGLO AMERICAN PLC
15509;I6UNK059;HSBC HLDGS PLC
15512;I6UNK059;ASR NEDERLAND NV
15531;I6UNK059;BANQUE CANTONALE VAUDOISE
15538;I6UNK059;DNB ASA
15545;I6UNK059;AVIVA PLC
15547;I6UNK059;NATIXIS
15549;I6UNK059;UNICREDIT SPA
15552;I6UNK059;DANSKE BANK AS
15575;I6UNK059;COMMERZBANK
15576;I6UNK059;DEUTSCHE BANK AG
15593;I6UNK059;MEDIOBANCA SPA
15598;I6UNK059;AEGON NV
15600;I6UNK059;JYSKE BANK
15602;I6UNK059;LAND SECURITIES GROUP PLC
15603;I6UNK059;LEGAL & GEN GROUP PLC
15617;I6UNK059;ING GROEP NV
15634;I6UNK059;NATWEST GROUP PLC
15638;I6UNK059;SCHRODERS PLC
15644;I6UNK059;SEGRO PLC
