Date,AAPL,JPM,PFE,V
30.09.2020,115.81,96.27,36.7,199.97
29.09.2020,114.09,95.35,36.17,199.44
28.09.2020,114.96,96.16,36.39,200.32
25.09.2020,112.28,93.47,36.05,197.25
24.09.2020,108.22,92.66,35.76,195.52
23.09.2020,107.12,92.74,36,195.37
22.09.2020,111.81,94.27,36.25,200.56
21.09.2020,110.08,95.31,36.02,197.45
18.09.2020,106.84,98.35,36.63,202.61
17.09.2020,110.34,98.56,36.82,205.27
16.09.2020,112.13,99.7,36.78,205.13
15.09.2020,115.54,99.28,36.96,205.39
14.09.2020,115.355,102.47,37.01,204.98
11.09.2020,112,101.07,36.07,200.68
10.09.2020,113.49,99.83,35.65,201.54
09.09.2020,117.32,100.87,36.18,204.06
08.09.2020,112.82,99.92,35.93,200.12
04.09.2020,120.96,103.52,36.36,204.66
03.09.2020,120.88,101.33,36.4,208.96
02.09.2020,131.4,101.65,37.2,216.48
01.09.2020,134.18,100.14,36.88,213.35
31.08.2020,129.04,100.19,37.79,211.99
28.08.2020,124.808,102.77,37.91,215.71
27.08.2020,125.01,102.35,37.86,211.03
26.08.2020,126.522,99.09,38.05,210.26
25.08.2020,124.825,100.5,38.41,208.1
24.08.2020,125.858,100.06,38.84,206.41
21.08.2020,124.37,97.32,38.88,204.13
20.08.2020,118.275,97.37,38.72,204.15
19.08.2020,115.708,98.55,38.26,200.99
18.08.2020,115.563,98.32,38.36,199.01
17.08.2020,114.608,99.71,38.35,199.43
14.08.2020,114.908,102.41,38.06,196.64
13.08.2020,115.01,102.37,38.17,197.58
12.08.2020,113.01,102.94,38.33,198.74
11.08.2020,109.375,103.82,37.79,197.77
10.08.2020,112.728,100.64,38.39,196.79
07.08.2020,111.113,99.38,38.45,196.36
06.08.2020,113.903,97.24,38.27,198.77
05.08.2020,110.063,97.21,38.45,196.1
04.08.2020,109.665,95.55,38.39,192.29
03.08.2020,108.938,96.1,38.35,190.69
31.07.2020,106.26,96.64,38.48,190.4
30.07.2020,96.19,97.02,38.74,194.06
29.07.2020,95.04,99.68,39.26,198.58
28.07.2020,93.253,97.32,39.02,196.74
27.07.2020,94.81,96.9,37.54,196.91
24.07.2020,92.615,98.28,37.66,195.15
23.07.2020,92.845,98.98,38.41,197.43
22.07.2020,97.272,98.69,38.56,198.86
21.07.2020,97,99.41,36.69,196.48
20.07.2020,98.358,97.3,36.5,198.47
17.07.2020,96.328,98.16,36.25,195.09
16.07.2020,96.522,100.01,35.6,193.5
15.07.2020,97.725,99.73,35.72,196.55
14.07.2020,97.058,98.21,35.23,193.33
13.07.2020,95.478,97.65,35.21,189.02
10.07.2020,95.92,96.27,33.83,192.55
09.07.2020,95.683,91.28,33.46,192.21
08.07.2020,95.343,93.3,33.75,195.07
07.07.2020,93.173,92.32,34.03,194.2
