Date,SX8P,SAP,ASML,Prosus,SAP_mcap,ASML_mcap,PRX_mcap
30.09.2020,569.83,132.76,314.7,78.7,163096.2218,133955.1646,128136.498
29.09.2020,572.96,134.16,318.25,77.28,164816.1278,135466.2571,125824.5053
28.09.2020,571.58,134.66,314.8,78.04,165430.3799,133997.7305,127061.9098
25.09.2020,557.21,129.96,307.2,77.9,159656.41,130762.7154,126833.9669
24.09.2020,560.82,131.96,308.15,79.28,162113.4185,131167.0923,129080.833
23.09.2020,564.45,132,312,79.8,162162.5586,132805.8829,129927.4783
22.09.2020,561.07,132.5,306.6,77.5,162776.8107,130507.3195,126182.7013
21.09.2020,556.31,131,302.95,76.04,160934.0544,128953.6609,123805.582
18.09.2020,574.85,135.5,308.45,78.74,166462.3234,131294.7903,128201.6245
17.09.2020,574.19,135.52,306.95,80.26,166486.8935,130656.3005,130676.4337
16.09.2020,579.95,135.96,312.4,81.76,167027.4354,132976.1468,133118.6795
15.09.2020,577.12,135.28,312.4,81.94,166192.0525,132976.1468,133411.749
14.09.2020,575.18,135.56,310.25,81.24,166536.0337,132060.9781,132272.0343
11.09.2020,569.81,135.5,307.5,80.6,166462.3234,130890.4134,131230.0094
10.09.2020,570.06,136.02,305.1,80.84,167101.1456,129868.8297,131620.7687
09.09.2020,572.93,137.52,304.85,81.3,168943.902,129762.4147,132369.7241
08.09.2020,560.56,133.44,297.4,79.88,163931.6047,126591.2486,130057.7314
07.09.2020,572.37,136.82,304,80.66,168083.949,129400.6038,131327.6992
04.09.2020,564.66,132.86,304.8,80.2,163219.0723,129741.1317,130578.7438
03.09.2020,580.02,137.32,317.9,82.98,168698.2011,135317.2762,135105.0394
02.09.2020,602.67,141.5,333.15,86.54,173833.3488,141808.5894,140901.3029
01.09.2020,590.95,138.64,323.15,87.06,170319.8267,137551.9905,141747.9481
31.08.2020,583.26,138.04,314.3,83.84,169582.7242,133784.9006,136505.2604
28.08.2020,589.05,139.76,316.7,86.52,171695.7515,134806.4843,140868.7396
27.08.2020,593.6,140.36,319.7,88.02,172432.854,136083.464,143310.9854
26.08.2020,598.96,142.26,325.6,87.58,174767.012,138594.8573,142594.5933
25.08.2020,586.07,139.26,319.1,84.3,171081.4993,135828.068,137254.2158
24.08.2020,581.71,138.6,318.55,82.7,170270.6866,135593.9551,134649.1535
21.08.2020,572.07,135.8,313.6,80.72,166830.8747,133486.9387,131425.389
20.08.2020,569.02,136.54,312,77.12,167739.9678,132805.8829,125563.999
19.08.2020,574.48,136.84,317.45,77.9,168108.5191,135125.7292,126833.9669
18.08.2020,573.76,135.32,317.45,78.98,166241.1927,135125.7292,128592.3839
17.08.2020,576.96,135.66,318.9,79.72,166658.8841,135742.9361,129797.2252
14.08.2020,571.62,135.24,314,79.36,166142.9123,133657.2026,129211.0862
13.08.2020,581.99,137.12,318.8,80.46,168452.5003,135700.3701,131002.0664
12.08.2020,582.78,138.08,316.45,83.2,169631.8644,134700.0693,135463.2355
11.08.2020,577.08,137.1,312.4,80.46,168427.9302,132976.1468,131002.0664
10.08.2020,566.13,134.94,308.5,77.6,165774.3611,131316.0733,126345.5177
07.08.2020,574.96,137.22,313.6,80.52,168575.3507,133486.9387,131099.7563
06.08.2020,570.05,135.24,307.9,83.9,166142.9123,131060.6774,136602.9502
05.08.2020,574.34,136,312.45,85.32,167076.5756,132997.4298,138914.9429
04.08.2020,572.5,135.32,315.2,82.98,166241.1927,134167.9945,135105.0394
03.08.2020,574.24,137.54,310.1,84.18,168968.4721,131997.1291,137058.8361
31.07.2020,558.75,133.78,299.7,82.1,164349.2962,127570.2663,133672.2552
30.07.2020,554.77,133.52,303.1,82,164029.8851,129017.5099,133509.4388
29.07.2020,570.28,139.56,308.8,84.3,171450.0506,131443.7713,137254.2158
28.07.2020,574.44,137.76,323,83.76,169238.743,137488.1416,136375.0073
27.07.2020,576.56,139.3,323.95,82.4,171130.6395,137892.5184,134160.7044
24.07.2020,572.36,135.64,322.55,82.2,166634.314,137296.5946,133835.0716
23.07.2020,594.68,141.26,339.15,85.66,173538.5078,144362.5486,139468.5186
22.07.2020,595.63,142.24,338.6,85.04,174742.442,144128.4357,138459.057
21.07.2020,597.14,141.86,337.4,88.78,174275.6104,143617.6438,144548.39
20.07.2020,594.15,139.24,338.9,85.68,171056.9293,144256.1337,139501.0819
17.07.2020,582.1,135.9,333.1,84.5,166953.7251,141787.3064,137579.8485
16.07.2020,575.43,135.46,331.7,85.04,166413.1833,141191.3825,138459.057
15.07.2020,580.75,137.34,330.7,86.56,168722.7712,140765.7226,140933.8661
14.07.2020,578.53,133.94,343.3,84.98,164545.8568,146129.0371,138361.3672
13.07.2020,593.97,137.52,353.5,88.02,168943.902,150470.7679,143310.9854
10.07.2020,583.89,135.04,348.7,86.36,165897.2115,148427.6005,140608.2334
09.07.2020,579.59,134.68,344.35,88.2,165454.95,146575.98,143604.0549
08.07.2020,574.54,128.78,343.9,87.1,158206.775,146384.4331,141813.0746
07.07.2020,577.32,128.78,342.2,84.9,158206.775,145660.8113,138231.1141
06.07.2020,582.93,130.72,343.55,84.8,160590.0732,146235.4521,138068.2977
03.07.2020,568.75,127.58,333.95,84,156732.5699,142149.1173,136765.7666
02.07.2020,568.33,127.66,332.75,83.62,156830.8503,141638.2665,136147.0643
