gvkey,company
X214700,STADA ARZNEIMITTEL AG
X241774,ALLREAL HOLDING AG
X15617,ING GROEP NV
X211777,COFINIMMO SA
X243535,PSP SWISS PROPERTY AG
X243515,SWISS PRIME SITE AG
X210652,PHP-PRIMARY HEALTH PPTYS PLC
X16349,HELVETIA HOLDING AG
X16603,NESTLE SA/AG
X15531,BANQUE CANTONALE VAUDOISE
X316816,TRITAX BIG BOX REIT PLC
X284165,ALSTRIA OFFICE AG
X101895,CHOCOLADEFABRIKEN LINDT & SP
X220426,ZURICH INSURANCE GROUP AG
X221616,DEUTSCHE TELEKOM
X204671,CEZ AS
X114927,SWISSCOM AG
X205699,SWISS LIFE HOLDING
X248178,TAG IMMOBILIEN AG
X21408,GROUPE BRUXELLES LAMBERT
X220940,ORANGE
X204719,KOMERCNI BANKA AS
X16447,AGEAS SA/NV
X237419,GIVAUDAN SA
X200034,ACKERMANS & VAN HAAREN NV/SA
X15804,ASSICURAZIONI GENERALI SPA
X23087,BALOISE HOLDING
X24056,SOFINA SA
X317978,MERLIN PROPERTIES SOCIMI SA
X15677,MUNICH RE CO
X25648,ROCHE HOLDING AG
X222284,COVIVIO
X18636,DIAGEO PLC
X274282,TRYG AS
X63546,SWISS RE LTD
X204825,HANNOVER RUECK SE
X15699,INVESTOR AB
X100957,IBERDROLA SA
X231809,UNITE GROUP PLC
X101340,SGS SA
X15773,SAMPO PLC
X100042,MAN SE
X206493,HEINEKEN HOLDING NV
X15724,ALLIANZ SE
X15644,SEGRO PLC
X17452,DANONE SA
X23445,PARGESA HOLDING SA
X15321,ENDESA SA
X208331,SHAFTESBURY PLC
X104997,INMOBILIARIA COLONIAL
X101396,PERNOD RICARD SA
X15334,AKZO NOBEL NV
X222504,CASTELLUM AB
X221884,GECINA
X234117,RED ELECTRICA CORP SA
X271217,FERROVIAL SA
X15696,GREAT PORTLAND ESTATES PLC
X211443,IMMOFINANZ AG
X15509,HSBC HLDGS PLC
X100083,BEIERSDORF AG
X104833,HEINEKEN NV
X275863,PARTNERS GROUP AG
X101202,L'AIR LIQUIDE SA
X64910,EDP-ENERGIAS DE PORTUGAL SA
X270334,ASSURA PLC
X314874,LEG IMMOBILIEN AG
X279406,AEDIFICA INC
X63120,AXA SA
X242381,WAREHOUSES DE PAUW SCA
X213058,WALLENSTAM AB
X101361,WOLTERS KLUWER NV
X277039,LEGRAND
X103036,INDUSTRIVARDEN AB
X319219,AENA SME S A
X102296,VINCI SA
X220586,NATURGY ENERGY GROUP SA
X61616,ENI SPA
X13683,TELEFONICA SA
X222307,EIFFAGE
X318538,ENTRA ASA
X228918,GEBERIT AG
X24625,TOTAL SE
X10846,THE UNILEVER GROUP
X101204,SANOFI
X238616,VEOLIA ENVIRONNEMENT
X100581,L'OREAL SA
X220579,TELIA COMPANY AB
X270979,ADMIRAL GROUP PLC
X316424,CEMBRA MONEY BANK AG
X201794,ENEL SPA
X323929,GALENICA AG
X203053,HERMES INTERNATIONAL
X101563,LE LUNDBERGFORETAGEN AB
X16281,MAPFRE
X104864,ICADE
X269744,ELIA GROUP SA/NV
X5180,GLAXOSMITHKLINE PLC
X201606,DERWENT LONDON PLC
X243090,COMPASS GROUP PLC
X243774,DEUTSCHE BOERSE AG
X100132,MORRISON (WM) SUPERMARKETS
X260840,NN GROUP N.V.
X100590,E.ON SE
X15908,EURAZEO
X270451,TERNA SPA
X314962,GRAND CITY PROPERTIES SA
X101310,NOVARTIS AG
X100338,RELX PLC
X15602,LAND SECURITIES GROUP PLC
X101248,ESSILORLUXOTTICA
X202086,GETLINK SE
X223492,ASSA ABLOY AB
X221612,TELENOR ASA
X225244,CNP ASSURANCES SA
X315682,VONOVIA SE
X275802,RIGHTMOVE PLC
X12384,ROYAL DUTCH SHELL PLC
X15664,RSA INSURANCE GROUP PLC
